MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal_Actual,MedHouseVal_Predicted,Residual,Error_Percent
1.6467,34.0,4.078431372549019,1.0823529411764705,1083.0,4.247058823529412,33.96,-118.27,0.909,1.1078192419684783,-0.19881924196847822,-21.872303846917298
4.2348,25.0,6.020351526364477,1.051803885291397,3259.0,3.014801110083256,37.99,-122.31,1.578,2.289219802092603,-0.711219802092603,-45.07096337722453
3.2373,32.0,4.340096618357488,1.038647342995169,4119.0,3.979710144927536,34.07,-118.05,1.831,1.7310510489933222,0.09994895100667778,5.45870841106924
4.1742,17.0,5.082224909310762,0.9866989117291415,2900.0,3.506650544135429,36.72,-121.64,1.599,2.344852734517538,-0.7458527345175379,-46.644949000471414
3.6786,11.0,6.1975903614457835,1.0939759036144578,1402.0,3.378313253012048,36.09,-119.06,0.729,1.1911940382145616,-0.4621940382145616,-63.40110263574233
10.7582,25.0,8.715,1.06,604.0,3.02,37.25,-121.99,5.00001,4.890562228019732,0.10944777198026756,2.188951061703228
3.7206,12.0,6.469302809573361,1.060353798126951,3771.0,3.924037460978148,38.04,-121.35,1.46,1.239348743974709,0.2206512560252909,15.113099727759652
3.6523,19.0,5.794819359236537,1.0620313565098842,3576.0,2.4376278118609407,38.64,-121.32,1.585,1.4709536687860236,0.11404633121397634,7.195352127064754
5.4968,25.0,5.170098478066249,1.0286481647269472,2637.0,2.360787824529991,33.84,-118.38,3.798,3.150800720372672,0.647199279627328,17.040528689503105
5.1524,36.0,4.984703632887189,1.0535372848948374,1165.0,2.2275334608030595,37.42,-122.12,3.731,3.2028768822667644,0.5281231177332355,14.15500181541773
4.625,20.0,5.546666666666667,1.0266666666666666,722.0,3.2088888888888887,35.26,-120.69,2.218,2.7810262802010968,-0.5630262802010968,-25.38441299373746
2.933,26.0,4.707667731629393,1.0335463258785942,825.0,1.317891373801917,37.88,-122.08,0.85,2.1904508985020072,-1.3404508985020072,-157.7001057061185
1.7377,33.0,3.9759450171821307,1.0721649484536082,1714.0,2.9450171821305844,34.03,-118.33,1.839,1.5014385687765852,0.33756143122341475,18.355705884905642
2.9781,31.0,3.642737896494157,1.0517529215358932,1069.0,1.7846410684474123,32.8,-117.25,2.125,2.380668653345623,-0.25566865334562294,-12.03146603979402
4.0294,23.0,6.105747126436782,1.1839080459770115,998.0,2.2942528735632184,33.42,-117.62,5.00001,2.3400235532385736,2.659986446761426,53.19962253598345
7.2639,15.0,7.473684210526316,0.9578947368421052,876.0,3.0736842105263156,37.67,-121.9,3.324,3.138356817748871,0.18564318225112864,5.584933280719874
3.9792,45.0,5.457777777777777,1.1,1300.0,2.888888888888889,33.8,-118.2,2.102,2.4969611319889893,-0.3949611319889894,-18.789777925261152
3.125,6.0,3.8095238095238093,0.7619047619047619,66.0,3.142857142857143,35.24,-119.01,0.65,1.2901141821249027,-0.6401141821249027,-98.47910494229272
3.6761,18.0,4.403581267217631,1.1143250688705235,1894.0,2.608815426997245,33.82,-117.89,1.405,2.1447687935688364,-0.7397687935688364,-52.652583172159176
6.9553,35.0,7.307392996108949,1.198443579766537,598.0,2.3268482490272375,32.81,-117.29,5.00001,3.697936475526184,1.3020735244738155,26.0414184066395
10.1007,30.0,7.843220338983051,1.0084745762711864,631.0,2.6737288135593222,37.34,-122.07,5.00001,4.805828488118891,0.19418151188110855,3.883622470377231
5.123,25.0,5.841509433962264,1.0528301886792453,732.0,2.762264150943396,33.82,-118.05,1.596,2.6454840697578135,-1.0494840697578134,-65.75714722793316
3.1667,23.0,5.225531914893617,1.0,569.0,2.421276595744681,32.8,-115.64,1.25,1.32052804873652,-0.07052804873652008,-5.642243898921606
2.6172,21.0,5.2719665271966525,1.0292887029288702,805.0,3.3682008368200838,32.8,-115.48,0.885,0.7675464704473498,0.1174535295526502,13.271585260186464
